Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
313.0,Javon Small,23.0,MEM,PG,38.0,10.0,753.0,16.3,0.616,0.478,0.289,4.4,12.8,8.5,26.7,2.0,1.1,14.9,18.5,1.4,0.6,2.0,0.125,1.5,-0.4,1.2,0.6,
314.0,Dwight Powell,34.0,DAL,C,55.0,10.0,751.0,12.4,0.698,0.035,1.116,11.1,17.8,14.5,8.8,1.7,2.0,21.0,9.1,1.2,0.9,2.1,0.136,-2.9,1.5,-1.4,0.1,
315.0,Kenrich Williams,31.0,OKC,PF,49.0,2.0,751.0,14.5,0.593,0.443,0.203,7.0,14.8,11.1,12.1,1.9,0.7,12.1,17.6,0.9,1.4,2.2,0.141,0.3,0.6,0.9,0.6,
316.0,Jabari Walker,23.0,PHI,PF,60.0,6.0,742.0,12.3,0.561,0.448,0.305,10.2,17.4,13.7,6.1,1.5,1.6,9.8,15.0,0.8,0.7,1.6,0.101,-2.2,-0.6,-2.8,-0.2,
317.0,Jalen Pickett,26.0,DEN,SG,45.0,18.0,738.0,10.4,0.546,0.556,0.073,2.9,13.0,8.2,18.3,0.9,0.5,12.4,14.2,0.6,0.4,1.0,0.063,-1.1,-1.0,-2.1,0.0,
318.0,Steven Adams,32.0,HOU,C,32.0,11.0,730.0,15.8,0.535,0.0,0.583,22.3,19.6,20.9,8.4,1.5,2.5,16.7,12.1,1.1,1.0,2.1,0.138,-0.2,-0.4,-0.6,0.3,
319.0,Lonzo Ball,28.0,CLE,PG,35.0,3.0,728.0,9.5,0.432,0.835,0.119,3.9,17.2,10.6,22.7,3.0,1.2,21.9,13.7,-0.4,1.1,0.7,0.043,-2.9,1.8,-1.1,0.2,
320.0,Micah Potter,27.0,IND,C,39.0,3.0,724.0,16.5,0.672,0.578,0.359,6.5,19.8,13.0,11.1,1.1,1.6,11.0,17.0,1.6,0.5,2.0,0.136,1.3,-0.7,0.5,0.5,
321.0,Julian Strawther,23.0,DEN,SG,50.0,12.0,722.0,12.0,0.578,0.473,0.238,2.0,13.0,7.7,9.6,1.4,0.5,9.2,19.0,0.5,0.5,1.0,0.064,-1.6,-1.1,-2.7,-0.1,
322.0,Noah Penda,21.0,ORL,SF,53.0,2.0,719.0,12.0,0.518,0.441,0.246,10.3,17.9,14.1,11.9,1.9,2.3,15.6,15.1,0.2,0.9,1.1,0.076,-1.7,0.5,-1.2,0.1,
323.0,Ben Saraf,19.0,BRK,SG,37.0,7.0,717.0,7.2,0.478,0.31,0.293,1.8,8.9,5.2,24.9,2.3,0.6,23.4,20.5,-1.3,0.4,-0.9,-0.062,-6.0,-1.5,-7.5,-1.0,
324.0,Micah Peavy,24.0,NOP,SG,54.0,1.0,712.0,8.2,0.436,0.391,0.083,6.0,8.6,7.3,9.0,2.2,0.8,5.9,14.9,-0.2,0.4,0.2,0.011,-4.5,-0.9,-5.4,-0.6,
325.0,Jalen Wilson,25.0,BRK,PF,48.0,1.0,707.0,8.3,0.534,0.597,0.307,1.9,13.0,7.1,6.9,1.3,0.3,9.6,17.9,-0.1,0.3,0.2,0.01,-3.4,-2.1,-5.5,-0.6,
326.0,Kyle Anderson,32.0,3TM,SF,36.0,3.0,705.0,13.1,0.58,0.054,0.365,5.1,13.8,9.4,18.3,2.4,2.5,15.3,13.5,0.7,0.6,1.3,0.092,-1.6,1.3,-0.3,0.3,
326.0,Kyle Anderson,32.0,UTA,SF,20.0,0.0,401.0,14.3,0.565,0.046,0.349,5.1,13.0,8.9,20.9,2.7,2.4,11.9,14.7,0.5,0.2,0.7,0.088,-1.0,0.7,-0.2,0.2,
326.0,Kyle Anderson,32.0,MEM,SF,4.0,3.0,89.0,15.1,0.821,0.053,0.421,3.6,13.5,8.5,4.9,3.2,4.2,23.7,13.8,0.1,0.1,0.2,0.111,-2.6,1.4,-1.1,0.0,
326.0,Kyle Anderson,32.0,MIN,SF,12.0,0.0,215.0,10.1,0.504,0.077,0.385,5.7,15.5,10.7,19.2,1.6,2.0,19.4,11.1,0.1,0.3,0.4,0.09,-2.5,2.3,-0.2,0.1,
327.0,Nick Richards,28.0,2TM,C,48.0,6.0,701.0,12.0,0.562,0.09,0.502,11.8,25.6,18.7,3.2,0.7,4.1,19.4,18.3,-0.2,0.8,0.6,0.041,-4.9,-1.2,-6.1,-0.7,
327.0,Nick Richards,28.0,PHO,C,28.0,2.0,254.0,11.5,0.534,0.0,0.394,14.8,25.3,19.9,4.4,0.8,5.3,23.1,18.1,-0.2,0.4,0.2,0.038,-6.0,-0.8,-6.8,-0.3,
327.0,Nick Richards,28.0,CHI,C,20.0,4.0,447.0,12.3,0.577,0.138,0.562,10.2,25.8,18.1,2.5,0.6,3.5,17.3,18.4,-0.1,0.5,0.4,0.042,-4.2,-1.5,-5.7,-0.4,
328.0,Quenton Jackson,27.0,IND,PG,41.0,11.0,698.0,13.9,0.595,0.386,0.374,3.5,10.6,7.0,21.0,1.5,0.7,14.6,20.4,0.7,0.3,1.0,0.069,-1.1,-1.0,-2.1,0.0,
329.0,Tyler Kolek,24.0,NYK,PG,59.0,1.0,694.0,12.1,0.527,0.462,0.076,2.4,12.7,7.5,31.1,1.5,0.6,17.8,18.2,0.5,0.8,1.3,0.087,-1.1,0.2,-0.8,0.2,
330.0,Jevon Carter,30.0,2TM,PG,44.0,1.0,694.0,11.3,0.54,0.721,0.073,1.9,10.0,5.9,14.0,2.1,1.2,9.7,18.2,0.1,0.6,0.8,0.052,-1.1,0.0,-1.1,0.2,
330.0,Jevon Carter,30.0,CHI,PG,23.0,0.0,254.0,12.4,0.577,0.757,0.097,2.1,8.7,5.4,10.4,2.4,0.7,9.3,19.5,0.1,0.2,0.3,0.059,-0.7,-0.3,-0.9,0.1,
330.0,Jevon Carter,30.0,ORL,PG,21.0,1.0,440.0,10.6,0.515,0.698,0.057,1.8,10.8,6.2,16.1,1.9,1.4,9.9,17.5,0.0,0.4,0.4,0.048,-1.4,0.2,-1.2,0.1,
331.0,Jonathan Kuminga,23.0,2TM,PF,30.0,14.0,692.0,13.9,0.556,0.289,0.383,7.0,21.5,14.2,15.7,1.2,1.1,16.3,23.5,0.0,0.8,0.8,0.053,-1.8,-0.8,-2.5,-0.1,
331.0,Jonathan Kuminga,23.0,GSW,PF,20.0,13.0,476.0,12.5,0.543,0.273,0.34,6.7,20.9,13.6,15.8,0.8,1.2,17.1,23.9,-0.2,0.5,0.3,0.025,-2.5,-1.2,-3.6,-0.2,
331.0,Jonathan Kuminga,23.0,ATL,PF,10.0,1.0,216.0,17.1,0.586,0.325,0.482,7.9,22.9,15.3,15.4,2.0,0.8,14.5,22.7,0.2,0.3,0.5,0.113,-0.2,0.0,-0.2,0.1,
332.0,Carter Bryant,20.0,SAS,PF,63.0,0.0,686.0,9.3,0.507,0.576,0.166,4.7,19.4,12.2,6.5,0.9,2.2,9.6,16.7,-0.1,1.0,0.9,0.064,-3.6,0.0,-3.7,-0.3,
333.0,Jalen Green,23.0,PHO,SG,26.0,21.0,678.0,15.2,0.515,0.46,0.173,1.9,14.4,7.9,19.1,2.0,0.4,10.7,32.3,-0.4,0.7,0.3,0.024,0.1,-1.1,-1.0,0.2,
334.0,Jaden Ivey,23.0,2TM,SG,37.0,5.0,670.0,13.1,0.571,0.523,0.184,4.0,10.9,7.5,14.0,1.6,2.0,12.9,19.7,0.5,0.9,1.4,0.097,-0.2,0.2,0.0,0.3,
334.0,Jaden Ivey,23.0,DET,SG,33.0,2.0,555.0,12.7,0.57,0.514,0.173,3.9,10.5,7.2,13.0,1.3,2.1,12.9,20.3,0.4,0.7,1.1,0.094,-0.1,0.1,0.0,0.3,
334.0,Jaden Ivey,23.0,CHI,SG,4.0,3.0,115.0,14.9,0.576,0.583,0.25,4.7,12.8,8.8,18.6,3.3,1.5,13.1,16.7,0.1,0.1,0.3,0.112,-0.7,0.7,0.0,0.1,
335.0,Anthony Gill,33.0,WAS,PF,46.0,2.0,668.0,12.9,0.648,0.235,0.157,7.4,12.0,9.7,10.7,1.8,2.2,16.4,12.2,0.8,0.2,1.0,0.073,-1.8,-0.9,-2.7,-0.1,
336.0,Thomas Bryant,28.0,CLE,C,56.0,0.0,648.0,17.4,0.615,0.488,0.26,8.8,21.5,15.2,6.8,1.3,3.5,8.4,19.4,1.2,0.9,2.1,0.153,0.7,-0.6,0.0,0.3,
337.0,Jett Howard,22.0,ORL,SF,51.0,0.0,645.0,11.3,0.555,0.593,0.156,3.6,11.0,7.3,9.7,0.7,1.4,5.0,17.1,0.7,0.5,1.2,0.087,-0.9,-1.1,-2.0,0.0,
338.0,Tre Mann,24.0,CHO,PG,47.0,1.0,645.0,8.3,0.464,0.522,0.093,3.6,11.8,7.8,18.9,1.8,0.7,15.0,23.1,-0.7,0.7,0.0,-0.003,-4.4,-0.9,-5.2,-0.5,
339.0,Daeqwon Plowden,27.0,SAC,SG,25.0,3.0,645.0,10.6,0.577,0.648,0.167,4.4,9.1,6.7,5.6,1.3,0.6,7.0,16.0,0.6,0.0,0.6,0.044,-2.2,-2.3,-4.5,-0.4,
340.0,Johnny Furphy,21.0,IND,SG,35.0,21.0,643.0,9.2,0.547,0.477,0.235,5.3,21.1,13.0,8.7,1.5,0.9,15.0,12.8,0.0,0.5,0.5,0.034,-3.9,0.1,-3.8,-0.3,
341.0,Kristaps Porziņģis,30.0,2TM,C,27.0,18.0,640.0,20.9,0.587,0.422,0.422,5.6,17.5,11.5,17.3,1.2,5.1,7.7,28.0,1.3,0.8,2.2,0.163,2.5,0.7,3.2,0.8,
341.0,Kristaps Porziņģis,30.0,ATL,C,17.0,12.0,413.0,20.6,0.592,0.41,0.386,5.4,17.6,11.4,16.6,1.0,4.8,6.1,26.4,1.0,0.5,1.5,0.176,2.7,0.9,3.6,0.6,
341.0,Kristaps Porziņģis,30.0,GSW,C,10.0,6.0,227.0,21.2,0.578,0.443,0.484,5.8,17.4,11.5,18.5,1.5,5.6,10.3,30.7,0.4,0.3,0.7,0.14,2.2,0.3,2.5,0.3,
342.0,Aaron Holiday,29.0,HOU,PG,48.0,1.0,635.0,9.7,0.564,0.648,0.171,1.4,6.0,3.8,10.3,1.7,0.6,12.4,17.6,0.5,0.5,1.0,0.076,-2.6,-0.4,-3.0,-0.2,
343.0,Anthony Davis,32.0,DAL,PF,20.0,20.0,626.0,21.6,0.551,0.111,0.243,10.7,26.6,18.8,15.0,1.7,4.5,10.0,27.6,0.4,1.0,1.4,0.106,1.5,0.9,2.4,0.7,
344.0,Tristan Vukcevic,22.0,WAS,C,46.0,9.0,624.0,17.0,0.594,0.451,0.338,5.2,18.8,12.0,13.0,1.3,4.3,15.1,26.6,0.2,0.3,0.5,0.041,0.2,-1.1,-1.0,0.2,
345.0,Gary Harris,31.0,MIL,SG,45.0,2.0,617.0,7.8,0.611,0.681,0.099,2.4,7.8,5.1,9.5,2.0,1.1,15.9,8.1,0.4,0.3,0.7,0.054,-3.4,0.7,-2.7,-0.1,
346.0,Kevin Love,37.0,UTA,PF,37.0,5.0,613.0,14.8,0.568,0.714,0.221,9.6,28.9,19.0,14.7,1.1,1.4,12.1,16.7,0.8,0.3,1.1,0.09,1.1,-0.9,0.2,0.3,
347.0,Dorian Finney-Smith,32.0,HOU,PF,35.0,1.0,590.0,5.0,0.435,0.775,0.058,6.1,10.6,8.4,7.1,1.3,0.9,15.2,10.3,-0.2,0.5,0.4,0.03,-4.7,-0.1,-4.8,-0.4,
348.0,Grant Williams,27.0,CHO,PF,30.0,3.0,583.0,12.2,0.61,0.733,0.342,7.1,15.4,11.3,11.3,0.9,2.0,14.7,14.3,0.9,0.6,1.5,0.12,0.1,0.8,0.8,0.4,
349.0,Zeke Nnaji,25.0,DEN,PF,48.0,3.0,577.0,10.6,0.562,0.35,0.314,6.3,17.7,12.3,5.4,1.4,3.4,13.6,13.9,0.2,0.6,0.8,0.067,-3.4,-0.1,-3.5,-0.2,
350.0,Tidjane Salaün,20.0,CHO,PF,36.0,0.0,571.0,13.1,0.632,0.525,0.253,5.2,23.8,14.7,6.7,1.4,1.1,12.5,14.8,0.7,0.7,1.4,0.12,-1.0,0.4,-0.6,0.2,
351.0,Ja Morant,26.0,MEM,PG,20.0,20.0,569.0,16.7,0.521,0.264,0.363,1.5,11.0,6.2,44.8,1.7,1.0,16.0,32.4,0.0,0.3,0.4,0.032,0.5,-2.0,-1.5,0.1,
352.0,Mohamed Diawara,20.0,NYK,SF,63.0,6.0,568.0,10.5,0.563,0.615,0.087,2.9,14.4,8.6,10.5,1.2,1.1,12.1,17.3,0.2,0.6,0.9,0.074,-1.4,0.0,-1.4,0.1,
353.0,Jamaree Bouyea,26.0,PHO,PG,40.0,0.0,564.0,13.7,0.527,0.337,0.156,3.0,11.6,7.2,17.5,2.4,2.4,9.4,17.7,0.4,0.7,1.1,0.097,-1.1,1.3,0.2,0.3,
